Area;Year;Average Temperature (Â°C)
Kyrgyz Republic;1985;1.60
Kyrgyz Republic;1986;1.97
Kyrgyz Republic;1987;2.60
Kyrgyz Republic;1988;2.41
Kyrgyz Republic;1989;
Kyrgyz Republic;1990;
Kyrgyz Republic;1991;2.15
Kyrgyz Republic;1992;1.96
Kyrgyz Republic;1993;1.90
Kyrgyz Republic;1994;1.79
Kyrgyz Republic;1995;2.51
Kyrgyz Republic;1996;
Kyrgyz Republic;1997;
Kyrgyz Republic;1998;
Kyrgyz Republic;1999;
Kyrgyz Republic;2000;2.70
Kyrgyz Republic;2001;2.96
Kyrgyz Republic;2002;3.40
Kyrgyz Republic;2003;2.15
Kyrgyz Republic;2004;3.35
Kyrgyz Republic;2005;2.92
Kyrgyz Republic;2006;3.50
Kyrgyz Republic;2007;3.90
Kyrgyz Republic;2008;2.76
Kyrgyz Republic;2009;2.74
Kyrgyz Republic;2010;3.24
Kyrgyz Republic;2011;2.43
Kyrgyz Republic;2012;2.020
Kyrgyz Republic;2013;3.43
Kyrgyz Republic;2014;2.020
Kyrgyz Republic;2015;3.46
Kyrgyz Republic;2016;3.64
Kyrgyz Republic;2017;2.95
Kyrgyz Republic;2018;2.76
Kyrgyz Republic;2019;3.59
Kyrgyz Republic;2020;3.59
Kyrgyz Republic;2021;3.67
Kyrgyz Republic;2022;3.98
Kyrgyz Republic;2023;4.28
Kyrgyz Republic;2024;4.30