Area,Element,Item,Year,Unit,Value
Kyrgyz Repubic,Use,Pesticides (total),1985,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),1986,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),1987,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),1988,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),1989,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),1990,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),1991,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),1992,tonnes of active ingredients,2418.0
Kyrgyz Repubic,Use,Pesticides (total),1993,tonnes of active ingredients,2200.86
Kyrgyz Repubic,Use,Pesticides (total),1994,tonnes of active ingredients,1983.72
Kyrgyz Repubic,Use,Pesticides (total),1995,tonnes of active ingredients,1766.59
Kyrgyz Repubic,Use,Pesticides (total),1996,tonnes of active ingredients,1549.45
Kyrgyz Repubic,Use,Pesticides (total),1997,tonnes of active ingredients,1332.31
Kyrgyz Repubic,Use,Pesticides (total),1998,tonnes of active ingredients,1115.17
Kyrgyz Repubic,Use,Pesticides (total),1999,tonnes of active ingredients,898.04
Kyrgyz Repubic,Use,Pesticides (total),2000,tonnes of active ingredients,680.9
Kyrgyz Repubic,Use,Pesticides (total),2001,tonnes of active ingredients,609.6
Kyrgyz Repubic,Use,Pesticides (total),2002,tonnes of active ingredients,733.2
Kyrgyz Repubic,Use,Pesticides (total),2003,tonnes of active ingredients,1302.6
Kyrgyz Repubic,Use,Pesticides (total),2004,tonnes of active ingredients,1321.3
Kyrgyz Repubic,Use,Pesticides (total),2005,tonnes of active ingredients,1081.1
Kyrgyz Repubic,Use,Pesticides (total),2006,tonnes of active ingredients,796.0
Kyrgyz Repubic,Use,Pesticides (total),2007,tonnes of active ingredients,1026.2
Kyrgyz Repubic,Use,Pesticides (total),2008,tonnes of active ingredients,662.8
Kyrgyz Repubic,Use,Pesticides (total),2009,tonnes of active ingredients,266.8
Kyrgyz Repubic,Use,Pesticides (total),2010,tonnes of active ingredients,350.1
Kyrgyz Repubic,Use,Pesticides (total),2011,tonnes of active ingredients,312.9
Kyrgyz Repubic,Use,Pesticides (total),2012,tonnes of active ingredients,365.1
Kyrgyz Repubic,Use,Pesticides (total),2013,tonnes of active ingredients,341.1
Kyrgyz Repubic,Use,Pesticides (total),2014,tonnes of active ingredients,402.6
Kyrgyz Repubic,Use,Pesticides (total),2015,tonnes of active ingredients,516.0
Kyrgyz Repubic,Use,Pesticides (total),2016,tonnes of active ingredients,532.8
Kyrgyz Repubic,Use,Pesticides (total),2017,tonnes of active ingredients,560.0
Kyrgyz Repubic,Use,Pesticides (total),2018,tonnes of active ingredients,608.0
Kyrgyz Repubic,Use,Pesticides (total),2019,tonnes of active ingredients,677.3
Kyrgyz Repubic,Use,Pesticides (total),2020,tonnes of active ingredients,692.6
Kyrgyz Repubic,Use,Pesticides (total),2021,tonnes of active ingredients,608.0
Kyrgyz Repubic,Use,Pesticides (total),2022,tonnes of active ingredients,578.2
Kyrgyz Repubic,Use,Pesticides (total),2023,tonnes of active ingredients,
Kyrgyz Repubic,Use,Pesticides (total),2024,tonnes of active ingredients,