 Area;Year;average_rain_fall_mm_per_year
Kyrgyz Republic;1985;415.19
Kyrgyz Republic;1986;411.57
Kyrgyz Republic;1987;653.29
Kyrgyz Republic;1989;487.08
Kyrgyz Republic;1990;455.06
Kyrgyz Republic;1991;
Kyrgyz Republic;1992;491.96
Kyrgyz Republic;1993;635.75
Kyrgyz Republic;1994;439.62
Kyrgyz Republic;1995;
Kyrgyz Republic;1996;419.71
Kyrgyz Republic;1997;383.88
Kyrgyz Republic;1998;647.29
Kyrgyz Republic;1999;561.89
Kyrgyz Republic;2000;415.66
Kyrgyz Republic;2001;404.04
Kyrgyz Republic;2002;
Kyrgyz Republic;2003;
Kyrgyz Republic;2004;513.16
Kyrgyz Republic;2005;478.71
Kyrgyz Republic;2006;421.65
Kyrgyz Republic;2007;451.63
Kyrgyz Republic;2008;364.05
Kyrgyz Republic;2009;505.67
Kyrgyz Republic;2010;532.84
Kyrgyz Republic;2011;506.82
Kyrgyz Republic;2012;363.87
Kyrgyz Republic;2013;460.63
Kyrgyz Republic;2014;414.17
Kyrgyz Republic;2015;520.53
Kyrgyz Republic;2016;645.41
Kyrgyz Republic;2017;463.7
Kyrgyz Republic;2018;442.57
Kyrgyz Republic;2019;432.49
Kyrgyz Republic;2020;472.95
Kyrgyz Republic;2021;342.72
Kyrgyz Republic;2022;508.5
Kyrgyz Republic;2023;404.58
Kyrgyz Republic;2024;